no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,lead_time,market_segment_type,avg_price_per_room,arrival_month,required_car_parking_space,repeated_guest,arrival_year,booking_status
0.6931471805599453,0.6931471805599453,0,26,4,161.0,10,0,0,2017,1
0.6931471805599453,0.6931471805599453,2,98,4,121.5,7,0,0,2018,1
0.0,0.0,0,433,3,70.0,9,0,0,2018,0
0.6931471805599453,0.6931471805599453,0,195,3,72.25,8,0,0,2018,1
0.0,0.0,0,188,3,130.0,6,0,0,2018,0
0.0,0.0,1,74,4,112.5,4,0,0,2018,0
0.0,0.0,0,273,3,95.0,5,0,0,2018,0
0.6931471805599453,0.6931471805599453,0,6,4,66.3,12,0,0,2018,1
0.6931471805599453,0.6931471805599453,1,89,4,83.66,3,0,0,2018,1
0.0,0.0,1,56,4,180.0,3,0,0,2018,0
0.6931471805599453,0.6931471805599453,1,103,4,114.3,7,1,0,2018,1
0.0,0.0,0,155,4,117.42,8,0,0,2018,0
0.6931471805599453,0.6931471805599453,0,3,4,128.8,6,0,0,2018,1
0.0,0.0,0,180,3,120.0,10,0,0,2018,0
0.6931471805599453,0.6931471805599453,2,92,4,89.85,7,0,0,2018,1
0.6931471805599453,0.6931471805599453,0,56,3,82.0,9,0,0,2017,1
0.0,0.0,0,279,4,110.0,10,0,0,2018,0
0.6931471805599453,0.6931471805599453,1,134,4,114.3,8,0,0,2018,1
0.6931471805599453,0.6931471805599453,1,8,4,139.0,3,0,0,2018,1
0.6931471805599453,0.6931471805599453,2,10,4,172.0,4,0,0,2018,1
0.6931471805599453,0.6931471805599453,1,2,4,148.0,8,0,0,2018,1
0.0,0.0,1,52,4,79.5,2,0,0,2018,0
0.0,0.0,0,116,3,61.0,2,0,0,2018,0
0.0,0.0,0,89,4,186.3,7,0,0,2018,0
0.0,0.0,0,193,4,120.0,6,0,0,2018,0
0.6931471805599453,0.6931471805599453,0,92,3,90.0,11,0,0,2018,1
0.6931471805599453,0.6931471805599453,1,95,4,130.5,7,0,0,2018,1
0.0,0.0,1,6,4,109.0,2,0,0,2018,0
0.6931471805599453,0.6931471805599453,1,60,4,106.2,4,0,0,2018,1
0.0,0.0,1,359,4,105.0,9,0,0,2018,0
0.0,0.0,2,67,4,88.4,11,0,0,2018,0
0.0,0.0,0,177,4,123.75,8,0,0,2018,0
0.6931471805599453,0.6931471805599453,0,101,4,54.06,4,0,0,2018,1
0.6931471805599453,0.6931471805599453,0,15,2,80.0,2,0,0,2018,1
0.6931471805599453,0.6931471805599453,0,30,4,94.2,8,0,0,2018,1
0.6931471805599453,0.6931471805599453,0,89,4,128.85,5,0,0,2018,1
0.0,0.0,0,21,4,133.5,9,0,0,2017,0
0.6931471805599453,0.6931471805599453,0,6,3,70.0,8,0,0,2017,1
0.6931471805599453,0.6931471805599453,2,135,4,119.85,6,0,0,2018,1
0.6931471805599453,0.6931471805599453,0,1,4,0.0,3,0,0,2018,1
